id,src,month,day,year,name_cn,name_native,name_romaji,alt_names,gender,blood,age,types,ptype,work,work_cn,work_year,work_fmt,works,summary,heat,fav,votes,collects,nsfw,image,thumb,alts,palette,tags,url_al,url_bgm,url_vndb,bgm_id
vndb-c129279,vndb,3,8,,,伏見 優,Fushimi Yuu,,其他,,,Galgame,Galgame,Blue*,,2011,Galgame,,Birth 1974,36,0,36,0,,https://t.vndb.org/ch/85/152285.jpg,https://t.vndb.org/ch/85/152285.jpg,,#a18954 #806a45 #78a1ca #614c35 #c0ad97 #d8e3de,Brown Shoulder-length Reverse-trap Amber Kid Coat Pretending Childhood Friend Tomboy Pendant Necklace,,,https://vndb.org/c129279,
bgm-bgm39080,bangumi,3,8,,太田早夜,太田早夜,,,其他,A,,动画|漫画,动画,田中くんはいつもけだるげ,田中君总是如此慵懒,2016,动画,"[{""t"":""田中くんはいつもけだるげ"",""cn"":""田中君总是如此慵懒"",""ty"":""动画"",""y"":2016,""pop"":0},{""t"":""田中くんはいつもけだるげ 特典アニメ"",""cn"":""田中君总是如此慵懒 特典"",""ty"":""动画"",""y"":2016,""pop"":0},{""t"":""田中くんは今日もけだるげ"",""cn"":""田中君今天也是如此慵懒"",""ty"":""动画"",""y"":2016,""pop"":0},{""t"":""田中くんはいつもけだるげ"",""cn"":""田中君总是如此慵懒"",""ty"":""漫画"",""y"":2014,""pop"":0}]",太田の妹。シャイで内気な女の子で、同級生の莉乃とは仲よし。 兄のことをゴリラっぽいと思っている。,35,0,0,35,,https://lain.bgm.tv/pic/crt/l/18/ba/39080_crt_IC9hA.jpg?r=1455765910,https://lain.bgm.tv/r/400/pic/crt/l/18/ba/39080_crt_IC9hA.jpg?r=1455765910,,,,,https://bgm.tv/character/39080,,39080
bgm-bgm87242,bangumi,3,8,,一之濑怜,一ノ瀬怜,REI ICHINOSE,,其他,,,动画|游戏,游戏,IDOLY PRIDE,偶像荣耀,2021,游戏,"[{""t"":""IDOLY PRIDE"",""cn"":""偶像荣耀"",""ty"":""游戏"",""y"":2021,""pop"":0},{""t"":""IDOLY PRIDE"",""cn"":""偶像荣耀"",""ty"":""动画"",""y"":2021,""pop"":0}]",ダンスが大好きで、抜群の技量を持つクールな女の子。一番になるためには努力を惜しまないという意識の高さだが、周囲にも同じレベルを求めるあまり、軋轢を生むこともしばしばある。,30,0,0,30,,https://lain.bgm.tv/pic/crt/l/c3/c5/87242_crt_2aW7E.jpg?r=1606942681,https://lain.bgm.tv/r/400/pic/crt/l/c3/c5/87242_crt_2aW7E.jpg?r=1606942681,https://storage.moegirl.org.cn/moegirl/commons/3/35/IchinoseRei.jpg!/fw/480/watermark/url/L21vZWdpcmwvd2F0ZXJtYXJrLnBuZw==/align/southeast/margin/10x10/opacity/50?v=20211121040523|https://storage.moegirl.org.cn/moegirl/commons/3/35/IchinoseRei.jpg,,图源:moegirl,,https://bgm.tv/character/87242,,87242
vndb-c29367,vndb,3,8,,,シオ,Shio,CO,男,A,,Galgame,Galgame,Cocoon-コクーン-,,2014,Galgame,"[{""t"":""Cocoon-コクーン-"",""cn"":"""",""ty"":""Galgame"",""y"":2014,""pop"":26},{""t"":""Cocoon BN-コクーン　ブラックノイズ-"",""cn"":"""",""ty"":""Galgame"",""y"":2014,""pop"":12}]","He can use Si to control multiple thoughts at the same time. His emotions and consciousness are constantly dispersed, so even Sora cannot read his mind.",26,0,26,0,,https://t.vndb.org/ch/45/35445.jpg,https://t.vndb.org/ch/45/35445.jpg,,#3b3331 #c9baae #f3e0ce #817a75 #f7f1e7 #ffffff,Black Ahoge Short Slim Pale Assault Amnesia Blowjob Red Young-adult,,,https://vndb.org/c29367,
vndb-c69238,vndb,3,8,,,とりの,Trino,,女,,,Galgame,Galgame,ぱらだいすお～しゃん,,2018,Galgame,,,25,0,25,0,,https://t.vndb.org/ch/87/83487.jpg,https://t.vndb.org/ch/87/83487.jpg,,#e7956f #3b567d #cabdbe #eae0d7 #f8f5ea #ffffff,Brown Bob Cut Shoulder-length Straight Teen Slim Pale Headband Shirt Miniskirt,,,https://vndb.org/c69238,
vndb-c37168,vndb,3,8,,,栗原 剛,Kurihara Takeshi,,男,O,,Galgame,Galgame,恋花デイズ,,2013,Galgame,,3rd year agricultural student. Student council member of Tomazawa Agricultural Academy.,24,0,24,0,,https://t.vndb.org/ch/34/44834.jpg,https://t.vndb.org/ch/34/44834.jpg,,#4a686e #a7897f #e4a4b4 #efdccf #ffffff,Brown Short Teen School Uniform Student Muscular Student Council Member Taciturn Tall,,,https://vndb.org/c37168,
bgm-bgm151671,bangumi,3,8,,美空彼方,美空かなた,Misora Kanata,,其他,B,,动画,动画,菜なれ花なれ,亦叶亦花,2024,动画,,鷹ノ咲（たかのさき）高校1年。明るく元気でチアが大好き。運は悪いが運動神経抜群で中学時代にはチアで全国優勝を果たす。親友の恵深と高校でも一緒にチアで全国優勝することを目指している。,21,0,0,21,,https://lain.bgm.tv/pic/crt/l/57/c5/151671_crt_Ab11M.jpg?r=1706186706,https://lain.bgm.tv/r/400/pic/crt/l/57/c5/151671_crt_Ab11M.jpg?r=1706186706,,,,,https://bgm.tv/character/151671,,151671
bgm-bgm27812,bangumi,3,8,,克洛艾·鲁梅尔,クロエ・ルメール,Chloé Lemaire,,其他,O,,动画|Galgame,Galgame,ガールフレンド(仮),临时女友,2012,Galgame,"[{""t"":""ガールフレンド(仮)"",""cn"":""临时女友"",""ty"":""Galgame"",""y"":2012,""pop"":0},{""t"":""ガールフレンド(仮）きみと過ごす夏休み"",""cn"":""临时女友 与你共度的暑假"",""ty"":""Galgame"",""y"":2015,""pop"":0},{""t"":""ガールフレンド(♪)"",""cn"":""临时女友♪"",""ty"":""动画"",""y"":2016,""pop"":0},{""t"":""ガールフレンド(仮)"",""cn"":""临时女友"",""ty"":""动画"",""y"":2014,""pop"":0}]",3年A組 日本文化研究会,20,0,0,20,,https://lain.bgm.tv/pic/crt/l/d0/4a/27812_crt_ef4bZ.jpg,https://lain.bgm.tv/r/400/pic/crt/l/d0/4a/27812_crt_ef4bZ.jpg,,,,,https://bgm.tv/character/27812,,27812
bgm-bgm8494,bangumi,3,8,,萨沙,サーシャ,Athena,雅典娜 / Αθηνά,其他,A,,动画|漫画,动画,聖闘士星矢 THE LOST CANVAS 冥王神話 第2章,圣斗士星矢 THE LOST CANVAS 冥王神话 第2章,2011,动画,"[{""t"":""聖闘士星矢 THE LOST CANVAS 冥王神話 第2章"",""cn"":""圣斗士星矢 THE LOST CANVAS 冥王神话 第2章"",""ty"":""动画"",""y"":2011,""pop"":0},{""t"":""聖闘士星矢 THE LOST CANVAS 冥王神話"",""cn"":""圣斗士星矢 THE LOST CANVAS 冥王神话"",""ty"":""动画"",""y"":2009,""pop"":0},{""t"":""聖闘士星矢THE LOST CANVAS冥王神話"",""cn"":""圣斗士星矢 THE LOST CANVAS 冥王神话"",""ty"":""漫画"",""y"":2006,""pop"":0}]",,17,0,0,17,,https://lain.bgm.tv/pic/crt/l/e9/1b/8494_crt_dUKCs.jpg?r=1667920178,https://lain.bgm.tv/r/400/pic/crt/l/e9/1b/8494_crt_dUKCs.jpg?r=1667920178,,,,,https://bgm.tv/character/8494,,8494
bgm-bgm109579,bangumi,3,8,,白,アキラ,Akira,,其他,,,动画,动画,ブッチギレ！,幕末替身传说,2022,动画,,沖田総司の替え玉。 剣術から学問まで能力が高く、鍛錬も欠かさない努力家。替え玉新選組の紅一点だが、普段は男装をしている。,13,0,0,13,,https://lain.bgm.tv/pic/crt/l/cb/cf/109579_crt_00bG7.jpg?r=1649940034,https://lain.bgm.tv/r/400/pic/crt/l/cb/cf/109579_crt_00bG7.jpg?r=1649940034,,,,,https://bgm.tv/character/109579,,109579
