id,src,month,day,year,name_cn,name_native,name_romaji,alt_names,gender,blood,age,types,ptype,work,work_cn,work_year,work_fmt,works,summary,heat,fav,votes,collects,nsfw,image,thumb,alts,palette,tags,url_al,url_bgm,url_vndb,bgm_id
vndb-c3129,vndb,8,8,,,名無しの少女,Nameless Girl,Nanashi no Shoujo / Ojou / お嬢,女,,,Galgame,Galgame,水夏~SUIKA~,,2001,Galgame,"[{""t"":""水夏~SUIKA~"",""cn"":"""",""ty"":""Galgame"",""y"":2001,""pop"":584},{""t"":""C.D.C.D.2 ～シーディーシーディー2～"",""cn"":"""",""ty"":""Galgame"",""y"":2008,""pop"":23},{""t"":""CircusLand I ～ドキ！ヒロインいっぱい初音島★コスプレミスコン祭り♪ よりどりみどりで♪好きな子選んで着せ替え育成デートだょ 兄さん♪～"",""cn"":"""",""ty"":""Galgame"",""y"":2007,""pop"":8},{""t"":""うたう絵本1・2・3 ハイ！！"",""cn"":"""",""ty"":""Galgame"",""y"":2002,""pop"":4}]","She is a very eccentric-looking girl. Her name, age and nationality are all unknown. However, she seems to be looking for something so she prowls around the village. Contrary to her appearance, she acts very maturely.",584,0,584,0,,https://t.vndb.org/ch/99/15599.jpg,https://t.vndb.org/ch/99/15599.jpg,,#7e7873 #bbb0ac #2e2b2b #e5d9d1 #f5efeb #ffffff,Long Straight Slim Pale Amnesia Missionary Blowjob Virgin Sex Kid Dress,,,https://vndb.org/c3129,
vndb-c3126,vndb,9,20,,,柾木 茜,Masaki Akane,,女,,,Galgame,Galgame,水夏~SUIKA~,,2001,Galgame,"[{""t"":""水夏~SUIKA~"",""cn"":"""",""ty"":""Galgame"",""y"":2001,""pop"":584},{""t"":""うたう絵本1・2・3 ハイ！！"",""cn"":"""",""ty"":""Galgame"",""y"":2002,""pop"":4}]","""I hate my past."" The three most important things in her life Touko-oneechan, her brother, and swimming. If she somehow loses them all, what will she do? What can she do?",584,0,584,0,,https://t.vndb.org/ch/98/15598.jpg,https://t.vndb.org/ch/98/15598.jpg,,#d6b174 #4a3c2f #f5e5d9 #f5f6f3 #c8c9c8 #ffffff,Brown Ponytail Long Straight Teen Slim Pale Orphan Amnesia Hazel,,,https://vndb.org/c3126,
vndb-c3130,vndb,10,17,,,水瀬 伊月,Minase Itsuki,,女,,,Galgame,Galgame,水夏~SUIKA~,,2001,Galgame,,"""I'm so glad I got to see you again..."" One letter. Kazama Akira and Itsuki have parted once before. When they said farewell, she gave him a letter.",584,0,584,0,,https://t.vndb.org/ch/92/15592.jpg,https://t.vndb.org/ch/92/15592.jpg,,#35293a #9f868a #cdbebc #ebe1dd #f7f5f5 #ffffff,Black Ponytail Twin Tails Hime Cut Curtained Teen Slim Pale School Uniform Missionary,,,https://vndb.org/c3130,
vndb-c3368,vndb,10,17,,,水瀬 小夜,Minase Sayo,,女,,,Galgame,Galgame,水夏~SUIKA~,,2001,Galgame,"[{""t"":""水夏~SUIKA~"",""cn"":"""",""ty"":""Galgame"",""y"":2001,""pop"":584},{""t"":""うたう絵本1・2・3 ハイ！！"",""cn"":"""",""ty"":""Galgame"",""y"":2002,""pop"":4}]","Sayo is Itsuki's twin sister. Unlike her sister, she is very sociable and cheerful. She acts like a big sister to everyone and won’t stand for injustice, but she often acts before she thinks.",584,0,584,0,,https://t.vndb.org/ch/93/15593.jpg,https://t.vndb.org/ch/93/15593.jpg,,#492832 #d3c1bd #978989 #efe2da #f5f4f3 #ffffff,Violet Short Straight Teen Slim Pale School Uniform Student Violet Shirt,,,https://vndb.org/c3368,
vndb-c3134,vndb,12,19,,,京谷 透子,Kyouya Touko,,女,,,Galgame,Galgame,水夏~SUIKA~,,2001,Galgame,"[{""t"":""水夏~SUIKA~"",""cn"":"""",""ty"":""Galgame"",""y"":2001,""pop"":584},{""t"":""CircusLand I ～ドキ！ヒロインいっぱい初音島★コスプレミスコン祭り♪ よりどりみどりで♪好きな子選んで着せ替え育成デートだょ 兄さん♪～"",""cn"":"""",""ty"":""Galgame"",""y"":2007,""pop"":8}]","""You are the only one for me, but you are..."" The object of her desire - Masaki Yoshikazu. A feeling of relief. A feeling of conviction. The relief and conviction of knowing that she is loved. She is constantly seeking these things.",584,0,584,0,,https://t.vndb.org/ch/97/15597.jpg,https://t.vndb.org/ch/97/15597.jpg,,#261c1b #ccbfb4 #877f77 #ebdfd5 #f6f2ee #ffffff,Brown Waist Length+ Curtained Straight Slim Pale Cooking Blowjob Hazel Young-adult,,,https://vndb.org/c3134,
vndb-c43459,vndb,1,11,,,天藤いつき,Amatou Itsuki,,女,O,,Galgame,Galgame,白衣性愛情依存症,,2015,Galgame,,"Asuka's classmate. Daughter of a distinguished family known for its traditional Japanese dance. She's a refined, charismatic, and stylish girl.",583,0,583,0,,https://t.vndb.org/ch/49/52149.jpg,https://t.vndb.org/ch/49/52149.jpg,,#adb6c2 #d1dbe5 #f5efdf #f2f5f8 #fffdfe,Shoulder-length Green Teen Slim Pale Blue Glasses Shirt T-shirt Shorts,,,https://vndb.org/c43459,
al797,anilist,1,13,1990,,コーネリア・リ・ブリタニア,Cornelia li Britannia,Witch of Britannia / Goddess of Victory,女,O,27-28,动画,动画,コードギアス 反逆のルルーシュ,Code Geass 反叛的鲁路修,2006,动画,"[{""t"":""コードギアス 反逆のルルーシュ"",""cn"":""Code Geass 反叛的鲁路修"",""ty"":""动画"",""y"":2006,""pop"":500273},{""t"":""コードギアス 反逆のルルーシュ R2"",""cn"":""Code Geass 反叛的鲁路修R2"",""ty"":""动画"",""y"":2008,""pop"":362942},{""t"":""コードギアス 復活のルルーシュ"",""cn"":""Code Geass 复活的鲁路修"",""ty"":""动画"",""y"":2019,""pop"":97127},{""t"":""コードギアス 奪還のロゼ"",""cn"":"""",""ty"":""动画"",""y"":2024,""pop"":34781},{""t"":""コードギアス 反逆のルルーシュⅠ 興道"",""cn"":"""",""ty"":""动画"",""y"":2017,""pop"":33081},{""t"":""コードギアス 反逆のルルーシュⅢ 皇道"",""cn"":"""",""ty"":""动画"",""y"":2018,""pop"":29621}]","Cornelia is the second princess of the Britannia Imperial Family and, as such, [Lelouch](//anilist.co/character/417/Lamperouge-Lelouch)'s half-sister.",583,583,0,0,,https://s4.anilist.co/file/anilistcdn/character/large/b797-lrtrQEESbWVa.jpg,https://s4.anilist.co/file/anilistcdn/character/medium/b797-lrtrQEESbWVa.jpg,,,,https://anilist.co/character/797,,,
vndb-c26022,vndb,3,3,,,大原 かえで,Oohara Kaede,,女,A,,Galgame,Galgame,白衣性愛情依存症,,2015,Galgame,"[{""t"":""白衣性愛情依存症"",""cn"":"""",""ty"":""Galgame"",""y"":2015,""pop"":583},{""t"":""夢現Re:After"",""cn"":"""",""ty"":""Galgame"",""y"":2020,""pop"":125}]","Former registered nurse and Asuka's nurse instructor. Born in the ""Oohara"" family known for their exceptional influence in medicine. Chose to go to the Imperial Capital Nursing Technical School to work as a teacher after serving as an RN.",583,0,583,0,,https://t.vndb.org/ch/03/31903.jpg,https://t.vndb.org/ch/03/31903.jpg,,#a58374 #e1c3b8 #f1ece5 #f8f7f4 #fffeff,Brown Straight Slim Pale Green Young-adult Friendly Girlfriend Nurse Teacher,,,https://vndb.org/c26022,
vndb-c26021,vndb,4,1,,,大幸 なお,Oosachi Nao,Nao-chan,女,AB,,Galgame,Galgame,白衣性愛情依存症,,2015,Galgame,,"The kind, flawless younger sister who loves her older sister Asuka a lot, devoting everything of herself to support her. The self-proclaimed ""Responsible Imouto"", ""Onee-chan's Special Medicine."" While they're born one year apart and in the…",583,0,583,0,,https://t.vndb.org/ch/02/31902.jpg,https://t.vndb.org/ch/02/31902.jpg,,#bcc6da #83757d #dde4e8 #fffdfe #f3f4f5,Black Twin Tails Wavy Shoulder-length Teen Slim Pale Hard Worker Cooking Amber,,,https://vndb.org/c26021,
vndb-c26020,vndb,4,2,,,大幸 あすか,Oosachi Asuka,Airhead / Dummy Girl,女,B,,Galgame,Galgame,白衣性愛情依存症,,2015,Galgame,,"The honest, simple, relaxed, fluffy and somewhat sluggish older sister. She's not dumb, but her memory could use some work.",583,0,583,0,,https://t.vndb.org/ch/01/31901.jpg,https://t.vndb.org/ch/01/31901.jpg,,#cfb4ba #ced8e5 #f0ece4 #fffdfe #f4f5f7,Pink Shoulder-length Teen Slim Pale Orphan Amnesia Amber Dress Pajamas,,,https://vndb.org/c26020,
vndb-c95418,vndb,7,15,,,黒き戦人,Kuroki Battler,Black Battler,男,,,Galgame,Galgame,うみねこのなく頃に咲,,2019,Galgame,,,583,0,583,0,,https://t.vndb.org/ch/89/115089.jpg,https://t.vndb.org/ch/89/115089.jpg,,#39274e #e7db87 #a1978c #f9f7dd #d6d1c4 #fffffd,,,,https://vndb.org/c95418,
vndb-c43460,vndb,11,13,,,武田さくや,Takeda Sakuya,Princess,女,B,,Galgame,Galgame,白衣性愛情依存症,,2015,Galgame,,"Asuka's classmate. Comes from a wealthy family. Has a strong sense of responsibility, is prideful, stubborn and lives by the concept of the so-called noblesse oblige. For some reason, she acts cold towards Asuka when they first meet.",583,0,583,0,,https://t.vndb.org/ch/50/52150.jpg,https://t.vndb.org/ch/50/52150.jpg,,#dab49c #c5d2e3 #f1eade #f0f4f7 #fffdfe,Brown Long Wavy Brown Teen Slim Pale Hard Worker Dress Pajamas,,,https://vndb.org/c43460,
al37513,anilist,12,24,,,三日月夜空,Yozora Mikazuki,,女,,17,动画|漫画|轻小说,动画,僕は友達が少ない,,2011,动画,"[{""t"":""僕は友達が少ない"",""cn"":"""",""ty"":""动画"",""y"":2011,""pop"":166020},{""t"":""僕は友達が少ない NEXT"",""cn"":"""",""ty"":""动画"",""y"":2013,""pop"":104651},{""t"":""僕は友達が少ない 第0語 闇鍋は美少女が残念な臭い(;´∀`)"",""cn"":"""",""ty"":""动画"",""y"":2011,""pop"":30045},{""t"":""僕は友達が少ない リレー小説は結末が半端ないL(゜□゜)」"",""cn"":"""",""ty"":""动画"",""y"":2012,""pop"":28740},{""t"":""僕は友達が少ない"",""cn"":"""",""ty"":""漫画"",""y"":2010,""pop"":6996},{""t"":""僕は友達が少ない"",""cn"":"""",""ty"":""轻小说"",""y"":2009,""pop"":3230}]","162 cm (5'4"") Yozora Mikazuki is the founder, first member, and club president of the Neighbor's Club. Prideful and easily provoked by nature, Yozora detests ""normals"" and that is the reason why Yozora doesn't have any friends along with th…",582,582,0,0,,https://s4.anilist.co/file/anilistcdn/character/large/b37513-dUhPmRiXPsrg.png,https://s4.anilist.co/file/anilistcdn/character/medium/b37513-dUhPmRiXPsrg.png,,,,https://anilist.co/character/37513,,,
al121847,anilist,3,31,2001,,真田莉々奈,Ririna Sanada,りりな / Lilina / Sanadamushi / Snooty Sanada,女,,16,动画|漫画,动画,恋と嘘,,2017,动画,"[{""t"":""恋と嘘"",""cn"":"""",""ty"":""动画"",""y"":2017,""pop"":115185},{""t"":""恋と嘘"",""cn"":"""",""ty"":""漫画"",""y"":2014,""pop"":18374},{""t"":""恋と嘘 一生の恋 / 恋の気持ち"",""cn"":"""",""ty"":""动画"",""y"":2018,""pop"":12736}]","152 cm (5'0"") The marriage partner chosen by the government for [Yukari Nejima](//anilist.co/character/121846/). Ririna is somewhat of a tsundere.",581,581,0,0,,https://s4.anilist.co/file/anilistcdn/character/large/b121847-AWEhujKseTDm.jpg,https://s4.anilist.co/file/anilistcdn/character/medium/b121847-AWEhujKseTDm.jpg,,,,https://anilist.co/character/121847,,,
al130938,anilist,7,7,,,雪白七々子,Nanako Yukishiro,The Girl Who Calms the Waters,女,,15,动画|漫画,动画,川柳少女,,2019,动画,"[{""t"":""川柳少女"",""cn"":"""",""ty"":""动画"",""y"":2019,""pop"":56887},{""t"":""川柳少女"",""cn"":"""",""ty"":""漫画"",""y"":2016,""pop"":14859},{""t"":""彼女、お借りしますx川柳少女"",""cn"":"""",""ty"":""漫画"",""y"":2018,""pop"":1250}]","Nanako Yukishiro is a vibrant, cheerful high school girl. Nanako, however, carries one peculiar trait, instead of verbal communication, she pens senryu poems to express her thoughts and feelings.",581,581,0,0,,https://s4.anilist.co/file/anilistcdn/character/large/b130938-wxRuUKtAjS4W.png,https://s4.anilist.co/file/anilistcdn/character/medium/b130938-wxRuUKtAjS4W.png,,,,https://anilist.co/character/130938,,,
al1113,anilist,8,2,1989,,ジェレミア・ゴットバルト,Jeremiah Gottwald,Orange,男,A,28-29,动画,动画,コードギアス 反逆のルルーシュ,Code Geass 反叛的鲁路修,2006,动画,"[{""t"":""コードギアス 反逆のルルーシュ"",""cn"":""Code Geass 反叛的鲁路修"",""ty"":""动画"",""y"":2006,""pop"":500273},{""t"":""コードギアス 反逆のルルーシュ R2"",""cn"":""Code Geass 反叛的鲁路修R2"",""ty"":""动画"",""y"":2008,""pop"":362942},{""t"":""コードギアス 復活のルルーシュ"",""cn"":""Code Geass 复活的鲁路修"",""ty"":""动画"",""y"":2019,""pop"":97127},{""t"":""コードギアス 反逆のルルーシュⅠ 興道"",""cn"":"""",""ty"":""动画"",""y"":2017,""pop"":33081},{""t"":""コードギアス 反逆のルルーシュⅢ 皇道"",""cn"":"""",""ty"":""动画"",""y"":2018,""pop"":29621},{""t"":""コードギアス｜ナナリーinワンダーランド"",""cn"":"""",""ty"":""动画"",""y"":2012,""pop"":17321}]","An elite Knightmare Frame pilot and a Purist, who is deeply concerned with the Purists' supremacy - enough to use Suzaku as a scapegoat for both avenging Clovis' death and reinforcing the Purists' superiority in Area 11.",581,581,0,0,,https://s4.anilist.co/file/anilistcdn/character/large/b1113-HxXUV4z4jhvZ.png,https://s4.anilist.co/file/anilistcdn/character/medium/b1113-HxXUV4z4jhvZ.png,,,,https://anilist.co/character/1113,,,
al53563,anilist,11,21,,,高尾和成,Kazunari Takao,,男,,16,动画|漫画,动画,黒子のバスケ,黑子的篮球,2012,动画,"[{""t"":""黒子のバスケ"",""cn"":""黑子的篮球"",""ty"":""动画"",""y"":2012,""pop"":286383},{""t"":""黒子のバスケ 2nd SEASON"",""cn"":"""",""ty"":""动画"",""y"":2013,""pop"":182891},{""t"":""黒子のバスケ 3rd SEASON"",""cn"":"""",""ty"":""动画"",""y"":2015,""pop"":162720},{""t"":""劇場版 黒子のバスケ Last Game"",""cn"":""剧场版 黑子的篮球 终极一战"",""ty"":""动画"",""y"":2017,""pop"":88995},{""t"":""黒子のバスケ ~最高のプレゼントです~"",""cn"":"""",""ty"":""动画"",""y"":2015,""pop"":20374},{""t"":""黒子のバスケ"",""cn"":""黑子的篮球"",""ty"":""漫画"",""y"":2008,""pop"":17353}]","**** 176 cm **** Shuutoku High **** Point Guard **** Hawk's Eye A freshman at Shuutoku High, Takao is much like Kuroko in that he is a passing expert. However, unlike Kuroko, Takao has none of Kuroko's invisibility.",581,581,0,0,,https://s4.anilist.co/file/anilistcdn/character/large/b53563-6ZzDEnRCQQTR.jpg,https://s4.anilist.co/file/anilistcdn/character/medium/b53563-6ZzDEnRCQQTR.jpg,,,,https://anilist.co/character/53563,,,
al127651,anilist,11,23,1863,,ゆうぎり,Yuugiri,Yugiri / Yuugirin / Number 5 / Zombie 5,女,,,动画|漫画,动画,ゾンビランドサガ,,2018,动画,"[{""t"":""ゾンビランドサガ"",""cn"":"""",""ty"":""动画"",""y"":2018,""pop"":154746},{""t"":""ゾンビランドサガ リベンジ"",""cn"":"""",""ty"":""动画"",""y"":2021,""pop"":71760},{""t"":""ゾンビランドサガ ゆめぎんがパラダイス"",""cn"":"""",""ty"":""动画"",""y"":2025,""pop"":18741},{""t"":""佐賀事変"",""cn"":"""",""ty"":""动画"",""y"":2019,""pop"":2064},{""t"":""ゾンビランドサガ"",""cn"":"""",""ty"":""漫画"",""y"":2018,""pop"":1578},{""t"":""Follow Your Fantasy"",""cn"":"""",""ty"":""动画"",""y"":2021,""pop"":1205}]","December 28, 1882 Yuugiri was a high-ranking courtesan from the Meiji era. After being resurrected from the dead, she becomes a member of the zombie idol group, Franchouchou.",580,580,0,0,,https://s4.anilist.co/file/anilistcdn/character/large/b127651-ncX3HZo03BWA.png,https://s4.anilist.co/file/anilistcdn/character/medium/b127651-ncX3HZo03BWA.png,,,,https://anilist.co/character/127651,,,
